uuid,Name,Address,Sanction Type,Nationality,Effect Date | Lapse Date,Grounds,Entity Type
76b5786d-1ad8-4919-a985-68b6c0153e33,Alex V. Pamatong Trading and Construction,"Baloy, Tablon Cagayan De Oro City, Philippines.",Debarred,Philippines,31/Jan/2007 | Until Further Notice,Sanction violation.,Person
4ed33359-5dba-4c32-9ecc-0a1d0591ef68,"Alexandre, Roosevelt","66 Rue Geffrard
Petion-Ville, Port-au-Prince
Haiti",Debarred,Non ADB Member Country,20/Nov/2014 | Until Further Notice,Cross-Debarment: IDB,Person
e9bddf76-35b9-4957-8239-ffc8d127e2bb,"ALIYEV, RAMIL BAHADIR OGLU (MR.)","DIRECTOR, ALYANS BETON LIMITED LIABILITY COMPANY, I. ISMALIYOV STREET, DOM 8, KVARTIRA 79, KHATAINSKIY RAYON, BAKU, AZERBAIJAN",Debarred,"Azerbaijan, Rep. of",10/Mar/2022 | 10/Feb/2027,Cross-Debarment: WB,Person
de7c1d9c-6e20-4cb4-9980-d417f250c883,"ALLONWARD HYDRO-GENERATING EQUIPMENT (HONGKONG) CO., LTD.","Hong Kong SAR, P.R. China",Debarred,"Hong Kong, China",16/Mar/2021 | 8/Mar/2025,Cross-Debarment: WB,Organization
e7fbddef-bbdf-4b4e-93c9-f3f0a7e2f772,Almendarez & Asociados S. de R.L.,"Colonia Palma Real, Segunda Calle No. 2930, Bloque C, Edificio SAARDIC Tegucigalpa, HONDURAS",Debarred,Honduras - Non ADB Member Country,22/Apr/2021 | 8/Feb/2024,Cross-Debarment: IDB,Organization
40dc1da9-b121-4fd4-ae42-f853b447971c,"Almendarez, Oscar Hernan Castillo","18 Calle, Blvr. Los Próceres 24-69, Zona 10, Edificio Empresarial Zona Pradera, Torre IV Tegucigalpa, HONDURAS",Debarred,Honduras - Non ADB Member Country,22/Apr/2021 | 8/Feb/2024,Cross-Debarment: IDB,Person
f10f6d0b-8a50-4adf-99b9-2912c4c9f293,ALYANS BETON LIMITED LIABILITY COMPANY,"I. ISMALIYOV STREET, DOM 8, KVARTIRA 79, KHATAINSKIY RAYON, BAKU, AZERBAIJAN",Debarred,"Azerbaijan, Rep. of",10/Mar/2022 | 9/Feb/2028,Cross-Debarment: WB,Organization
131f7d99-6cae-4e2b-ab83-2685199b3c49,"AMBROSE, IYKE","10 OBANLE ARO 
AVENUE, OFF 
COKER ROAD, 
ILUPEJU,  LAGOS 
Nigeria",Debarred,Non ADB Member Country,23/Feb/2017 | Until Further Notice,Cross-Debarment: WB,Organization
d19d6408-1dfd-4687-a646-6e28887c6ca8,"Andrade, Juan Edgardo Peñate","Barrio La Vega, Calle al Cementerio. San Lorenzo Ahuachapán, El Salvador",Debarred,El Salvador-Non ADB Member Country,12/Jan/2023 | 12/Dec/2028,Cross-Debarment: IDB,Person
b43cbcdd-4c61-4d5e-ad7b-2c09d92a6cad,"ANGELOV, VALERI MR.","13B, LOUKASHOV 
STREET, 3000 
VRATSA,  
Bulgaria",Debarred,Non ADB Member Country,21/Aug/2013 | Until Further Notice,Cross-Debarment: WB,Organization
d3b99391-bfa7-46e9-a564-412a73e455dc,"ANGUH, MAURENCE","40 E. CHICAGO 
AVENUE # 200, CHICAGO, IL 60611
USA",Debarred,United States,6/Oct/2011 | Until Further Notice,Cross-Debarment: WB,Organization
619b9cbc-5081-49ba-8baf-67ba26280083,ANS Technologies,"Suite #M-5
Mezzanine Floor
Mohammad Gullistan Khan House
82-East, Fazal-e-Haq
Blue Area, Islamabad
PAKISTAN",Debarred,Pakistan,14/Dec/2009 | Until Further Notice,"Debarred, not contactable.",Organization
75c8956c-ca76-490f-9d4f-c2cca41f2cd1,"Aohua Steel Structure Co., Ltd. (Reg. No. 91371000746596891M)","South of Xu Jiatuan Village, Economic and Technological Development Zone,
Weihai, Shandong Province
山东省威海经济技术开发区徐家疃村南",Debarred,People's Republic of China,4/Apr/2022 | 18/Oct/2024,Cross-Debarment: AfDB,Organization
92ba609b-db4b-44e8-aaf1-251dc670b4c8,APQ S.A.C.,"MANZANA D LOTE 
18, 
URBANIZACIÓN 
BALLESTAS,  PISCO, ICA 
Peru",Debarred,Non ADB Member Country,2/Sep/2016 | Until Further Notice,Cross-Debarment: WB,Organization
21999424-7171-47ad-a090-b3f7b1dd4c63,Aqua Ril S.A.C.,"Av. Juan de Arona No. 151, Oficina 1001, torre A, Distrito de San Isidro, Provincia y Departamento de Lima, Peru",Debarred,Peru-Non ADB Member Country,19/Jul/2023 | 29/Jan/2026,Cross-Debarment: IDB,Person
542c907e-55dc-4e70-adb8-798e1ed746b7,"Arias, Víctor Julio Herrera","Aguas Zarcas, San Carlos,500 metros al Norte del Banco de Costa Rica, Provincia de Alajuela, Costa Rica",Debarred,Costa Rica-Non ADB Member Country,17/Apr/2023 | 30/Mar/2026,Cross-Debarment: IDB,Person
14b85267-3cd7-413f-a2dc-daa217b84816,ARLADI GENERAL TRADING COMPANY LTD.,"HQ-AFAR-IRDOD STREET, BAIDOA, BAY
SOMALIA",Debarred,Non ADB Member Country,4/Dec/2020 | 2/Nov/2027,Cross-Debarment: WB,Organization
0767be45-1e10-49a3-a3e2-7766bf287c5f,"Arreaga, Julio Enrique Reyna","3ra Avenida Calzada Muro Paz 0-51 Zona 1, Cuyotenago, Suchitepequez, Guatemala",Debarred,Non ADB Member Country,24/May/2018 | 26/Apr/2030,Cross-Debarment: IDB,Person
7072c0a2-0007-463f-842a-e31c144c44fd,ARTIFEX TELECOMUNICACIONES S.R.L.,"C. PEDRO 
BLANCO ESQ. 
NICOLAS 
ACOSTA, NRO. 
1493, ZONA: 
SAN PEDRO,  LA PAZ 
BOLIVIA",Debarred,Non ADB Member Country,9/Jul/2014 | Until Further Notice,Cross-Debarment: WB,Organization
8e7086a7-e126-4d60-b316-fd7e5344be36,ASBECO NIGERIA LTD.,"NO. 10 EFFANGA MKPA STREET, STATE HOUSING ESTATE, CALABAR, CROSS RIVER STATE, NIGERIA",Debarred,Nigeria-Non ADB Member Country,26/May/2021 | 24/May/2026,Cross-Debarment: WB,Organization
b502c594-61f4-4f7c-bd26-8dbadae7408d,ASDECON CORPORATION COMPANY LIMITED,"2782, LAO PRAO 
130, LAO PRAO 
ROAD, 
KLONGCHAN, 
BANGKAPI, BANGKOK
THAILAND",Debarred,Thailand,19/Jun/2012 | Until Further Notice,Cross-Debarment: WB,Person
1c6709e2-483c-41a5-a0c1-c5232e6276be,Asesores Bypsa,"Calle San Camilo, Edificio Las Taparitas Piso 2, 2-2, Las Palmas, Caracas 1050, 
VENEZUELA",Debarred,Venezuela-Non ADB Member Country,4/Nov/2021 | 26/Oct/2030,Cross-Debarment: IDB,Person
23205b62-6df7-41dd-867a-a5d9d8f2ae19,"ASIA COMMUNICATIONS CO., LTD.","51EO, ST. 
366, SANGKAT 
TOUL SVAY, 
PREY I, KHAN 
CHAMKARMORN, 
CITY PHNOM PENH,  
Cambodia",Debarred,Cambodia,13/Aug/2013 | Until Further Notice,Cross-Debarment: WB,Organization
e4067d18-2ba1-4df9-b338-06d9c6d8f059,ASIA PACIFIC CONSULTANT JOINT STOCK COMPANY,"NO. 2, LANE 12, NGUYEN NGOC NAI STREET, KHUONG MAI WARD, THANH XUAN DISTRICT, HANOI, Viet Nam",Debarred,Socialist Republic of Viet Nam,20/Dec/2018 | Until Further Notice,Cross-Debarment: WB,Organization
51563222-1bb1-4bb2-89fb-c7e905401631,"Asian Technical Assistance Co., Ltd.","Phum Sansam Kosal 1, Boeng Tumpun, Mean Cheay, Phnom Penh, 12351, CAMBODIA",Debarred,Cambodia,9/Feb/2022 | Indefinitely,Affiliate of a debarred entity,Organization
9e662ff8-c495-43c7-8942-88bfa39bf7d6,ASMONTAGE EOOD,"2, PAISII 
HILENDARSKI 
STR.,  2300 PERNIK 
Bulgaria",Debarred,Non ADB Member Country,18/Sep/2013 | Until Further Notice,Cross-Debarment: WB,Organization
877df513-1167-4863-86ef-05fdb116aa43,ASSOCIATION MUHANDISON,"C/O MR. 
NASRIDDIN 
NASIMOV, NEMAT 
KORABOEV 
STREET, 
BLD-15, APT-1, 
DUSHANBE",Debarred,"Tajikistan, Rep. of",30/Sep/2011 | Until Further Notice,Cross-Debarment: WB,Organization
a0ab7534-6cef-418b-a017-43c1930ee30d,"ASSOCIATION ""HIDROSTROITEL""","KARIM DEVONA 
STREET 59, 
HISSAR RAYON,  SHARORA DISTRICT 
Tajikistan",Debarred,"Tajikistan, Rep. of",21/Aug/2013 | Until Further Notice,Cross-Debarment: WB,Person
0af2834f-27e5-4c66-b8ff-ddd69062c8c3,ASTRA BIOPHARMACEUTICALS LIMITED,"43/2, RING ROAD, SHYAMOLI, DHAKA-1207 Bangladesh",Debarred,Bangladesh,24/Oct/2016 | Until Further Notice,Cross-Debarment: WB,Organization
55964f1a-7f43-44ed-a303-62eb19abd137,ATLAS MEDICINE CONCERN PVT. LTD.,"1535 BHATBHATENI
G.P.O. BOXES 
3868 AND 10807, KATHMANDU 
Nepal",Debarred,Nepal,3/Feb/2014 | Until Further Notice,Cross-Debarment: WB,Organization
956901c4-52ed-4ba1-a204-4e27512d11b7,"Auditoria, Contaduria, Asesoria Legal y Fiscal Sociedad de Responsabilidad Limitada (AUDICONFI)",Honduras,Debarred,Non ADB Member Country,19/Mar/2018 | 11/Jan/2024,Cross-Debarment: IDB,Organization
729b4e1e-bd6c-4200-80c4-40be185c1105,"Avendano, Saul Argueta","Colonia Miraflores Sur, Bloque 46D, Casa 3921, Francisco Morazán Tegucigalpa, HONDURAS",Debarred,Honduras - Non ADB Member Country,22/Apr/2021 | 8/Feb/2024,Cross-Debarment: IDB,Person
43f9f0fb-e632-4f1d-8978-c027de477e3e,Avendaño & Asociados S. de R.L.,"Colonia Miraflores Sur, Bloque 46D, Casa 3921, Francisco Morazán Tegucigalpa, HONDURAS",Debarred,Honduras - Non ADB Member Country,22/Apr/2021 | 8/Feb/2024,Cross-Debarment: IDB,Organization
da0c08b7-7b85-4d7d-850d-fd02053c5940,AVTOBANI LTD.,"DIDIDIGOMI 
TAVDADEBULI 
STR. 22, FLAT 5,  TBILISI 0131, Georgia",Debarred,Georgia,5/Jun/2018 | Until Further Notice,Cross-Debarment: WB,Organization
1bd6c604-3c32-4a96-9f78-649870c594c6,"Awal, Md. Abdul (proprietor of M/S. A.S. Construction)","House No. C-151, Seroil Colony, Ghorama, Boalia, Rajshahi-6000, Bangladesh",Accepted Proposed Sanction,Bangladesh,14/Mar/2023 | 14/Mar/2030,Violated ADB's Integrity Principles and Guidelines 2A (ii).,Person
fbaaf16b-6195-4603-94ff-c2029b5b3294,AYEMO INVESTMENTS LIMITED,"PLOT 1442 
NAMUGONGO ROAD 
P.O.BOX 10916,  KAMPALA 
Uganda",Debarred,Non ADB Member Country,21/Aug/2013 | Until Further Notice,Cross-Debarment: WB,Organization
31e64367-9d64-4d92-afbc-1300664774cc,"Ayestas, Elan Fernando Vasquez",Honduras,Debarred,Non ADB Member Country,19/Mar/2018 | 11/Jan/2024,Cross-Debarment: IDB,Person
54034d92-1801-474a-9841-f3c828fe0496,"Azad, Abul Kalam","Azad Bhaban, Muslimpara, Patuakhali 8600, BANGLADESH",Debarred,Bangladesh,22/Nov/2022 | 22/Nov/2027,Sanction violation.,Person
dac6bc2b-f943-45ab-b4a7-ebb6e2ca141b,"AZHARIE, Achmad","c/o CV Sugriwa Persada
Jl. Umam Bonjol Gg. Persada No. 26
Kemiling Permai Kemiling Bandar Lampung 
Bandar Lampung (Kota)
Lampung 35131
INDONESIA",Debarred,Indonesia,26/Jun/2019 | Until Further Notice,Violated ADB's Integrity Principles and Guidelines 2.A (iv).,Person
ef38ed89-b25f-4676-a69d-7863856e70cb,A.G. VISION CONSTRUCTION NIGERIA LIMITED,"PLOT 348 J. C. OBANDE CLOSE, UTAKO DISTRICT, ABUJA, NIGERIA",Debarred,Non ADB Member Country,4/Jan/2021 | 17/Mar/2025,Cross-Debarment: WB,Organization
78472cc6-ee69-4f25-a890-47791779542b,"Álvarez, Omar Enrique Escorcia","Calle 98 No. 42 G 61, Torre 3, Apartamento 403, Mirador del Mar l. Barranquilla, COLOMBIA",Debarred,Colombia-Non ADB Member Country,16/Dec/2021 | 7/Nov/2030,Cross-Debarment: IDB,Person
1acc3332-dce2-477f-937b-0d0509e6acf0,"Bai, Yuehua","c/o Sino-Kenya Engineering Group Company Limited,  NextGen Apartments, Block B, House No. 41 Mombasa Road, Nairobi, KENYA",Debarred,Kenya-Non ADB Member Country,4/Apr/2022 | 18/Aug/2024,Cross-Debarment: AfDB,Organization
39095acb-0dd1-432e-9004-81836de32c62,"BAPTISTE, RONEL JEAN","DELMAS 105, RUE AUDANT #2  
ENTREE HÔPITAL COMMUNAUTAIRE, PORT-AU-PRINCE
Haiti",Debarred,Non ADB Member Country,3/Mar/2020 | 11/Nov/2028,Cross-Debarment: IDB,Organization
e3fb7b40-a275-4fd8-8a98-e8d543b7c3e7,"Barberán, Carlos Diez","Avenida Diagonal 644, 08017, Barcelona, Spain",Debarred,Spain,13/Jan/2023 | 14/Nov/2025,Cross-Debarment: WB,Person
7e3b0b17-dc0f-49c8-8184-a02b7ad20406,"Barkley Management Group, LLC","10454 Windermere Chase Blvd. Gotha, Florida, 34734 USA",Debarred,United States,4/May/2016 | Until Further Notice,Violated ADB's Integrity Principles and Guidelines 2.A(ii).,Organization
87507d91-4394-40b9-981c-0073ffaa56df,"Barkley, Keith","10454 Windermere Chase Blvd. Gotha, Florida, 34734 USA",Debarred,United States,4/May/2016 | Until Further Notice,Violated ADB's Integrity Principles and Guidelines 2.A(ii).,Organization
f574b143-e99a-4919-be15-e951e8b942db,"BASNET, NABARAJ BASNET","MANAGING 
DIRECTOR, 
NATIONAL 
BIO-MEDICAL 
PVT. LTD., 
TRIPURAPATH, 
TRIPURESHWOR,  KATHMANDU, Nepal",Debarred,Nepal,26/May/2018 | Until Further Notice,Cross-Debarment: WB,Organization
803374b0-35f4-4038-b10d-ff1a730944ee,"Bastoni, Agus","Bukit Pamulang Indah, B-1/2 RT 003/009, Kelurahan Pamulang Barat, Kecamatan Pamulang, Tangerang Selatan 15000, INDONESIA",Debarred,Indonesia,6/Aug/2021 | Indefinitely,Sanction violation,Organization
b26c58e5-80e0-4e35-a162-9f74973e4864,Baufirma,Guatemala,Debarred,Non ADB Member Country,21/Apr/2014 | 15/Apr/2027,Cross-Debarment: IDB,Organization
2f27ab10-4d95-4706-a85c-28aa578eab89,"Baxromova, Natalya Vladimirovna",Address not disclosed by the sanctioned company.,Debarred,"Uzbekistan, Rep. of",22/Apr/2009 | Until Further Notice,"Debarred, not contactable.",Organization
ec0d455f-2173-4a7e-931d-0db7bc97c817,"BAYARMAA, TUMENDEMBEREL (MS.)","C/O ECOGRAPH 
LLC AKA 
ECOGRAPHY 
COMPANY, 
BUILDING OF 
MONGOL 
ENGINEER CO. 
LTD., KHOROO 
20, BAYANGOL 
DISTRICT,  ULANBATAAR 
Mongolia",Debarred,Mongolia,28/Oct/2015 | Until Further Notice,Cross-Debarment: WB,Organization
9b308abd-fd35-45c7-847b-41728656e5c3,"BAYON WATER PUMP CO., LTD.","PHUM RUNG 
CHAK,SANGKAT 
PHNOM PENH 
THMEI,KHAN SEN 
SOK,  PHNOM PENH 
Cambodia",Debarred,Cambodia,6/Jan/2015 | Until Further Notice,Cross-Debarment: WB,Organization
cad3b1c1-750b-4276-8fac-388328f96728,BDCTEC International SL.,"Calle Barcelona, 9 Villalbilla, 28810 Madrid, Spain",Debarred,Spain,17/Sep/2020 | 6/Jul/2026,Cross-Debarment: IDB,Organization
